planID,benefitClassID,effectiveDate,terminationDate,savedUserID,savedDateTime
163770,146390,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-01-29 13:55:01.450'
163770,146426,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-02-18 10:21:19.690'
163771,145513,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 14:56:13.600'
163771,145537,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 15:01:00.707'
163771,145538,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 14:58:24.433'
163771,145754,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',8699036,'2018-06-13 08:54:57.903'
163771,145755,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',8699036,'2018-06-13 08:55:11.027'
163771,145756,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',21571907,'2018-07-12 11:53:21.933'
163771,145821,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 14:52:03.267'
163771,145822,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 14:53:55.573'
163771,145964,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',8699036,'2018-06-04 15:30:48.440'
163771,146388,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-01-29 13:53:01.713'
163771,146389,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-01-29 13:54:00.893'
163771,146390,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-01-29 13:55:01.450'
163771,146391,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-01-29 13:56:01.550'
163771,146424,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-02-18 10:06:23.260'
163771,146425,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-02-18 10:13:44.013'
163771,146426,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-02-18 10:21:37.893'
163772,145512,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:31:27.380'
163772,145513,'2018-01-01 00:00:00.000','2018-12-31 00:00:00.000',9277809,'2018-10-17 23:36:01.977'
163772,145514,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:33:04.243'
163772,145518,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:30:04.690'
163772,145519,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9277809,'2018-10-17 16:45:59.773'
163772,145537,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:12:07.757'
163772,145538,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:21:54.593'
163772,145586,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:27:36.650'
163772,145754,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9277809,'2018-10-17 16:47:16.227'
163772,145755,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9277809,'2018-10-17 16:48:44.650'
163772,145756,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9277809,'2018-10-17 16:49:25.367'
163772,145774,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:25:13.443'
163772,145775,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:29:17.860'
163772,145821,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:10:24.787'
163772,145822,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:16:24.197'
163772,145823,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:23:48.283'
163772,145824,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:26:47.100'
163772,146388,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:53:01.713'
163772,146389,'2018-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:54:00.893'
163772,146390,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:55:01.450'
163772,146391,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:56:01.550'
163772,146392,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:57:01.007'
163772,146422,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-02-12 13:30:01.243'
